product_id,product_name,total_units_sold
P001,Hydraulic Pump HP-300,45389
P002,Engine Oil Filter OF-90,45342
P003,Air Filter AF-120,45684
P004,Track Chain TC-45,45575
P005,Fuel Injector FI-220,45026
P006,Alternator ALT-500,46731
P007,Hydraulic Hose HH-60,46468
P008,Bucket Tooth BT-10,45376
P009,Starter Motor SM-700,44946
P010,Turbocharger TB-900,46964
P011,Hydraulic Cylinder HC-200,46612
P012,Brake Pad BP-40,45972
P013,Seal Kit SK-15,44081
P014,Transmission Assembly TA-800,45035
P015,Engine Block EB-600,45222
P016,Radiator RD-250,46306
P017,Fan Belt FB-30,45578
P018,Wheel Rim WR-24,45027
P019,Swing Motor SWM-350,45971
P020,Pivot Pin PP-12,45340
P021,Boom Cylinder BC-400,46364
P022,Control Valve CV-75,45819
P023,Idler Wheel IW-55,44437
P024,Track Roller TR-60,44022
P025,Cabin Glass CG-20,45598
P026,Grease Cartridge GC-5,44844
P027,O-Ring Set OR-50,45678
P028,Light Assembly LA-18,46164
P029,Pressure Sensor PS-90,47066
P030,Fuel Pump FP-350,45897
