product_id,product_name,unit_cost,reorder_level,safety_stock,max_stock_level,lead_time_days,last_purchase_price,last_purchase_date,stock_capacity_range,reorder_buffer,max_stock_value,safety_stock_value,reorder_stock_value
P001,Hydraulic Pump HP-300,18950.0,15.0,10.0,40.0,21.0,18500.0,2019-03-15,30.0,5.0,758000.0,189500.0,284250.0
P002,Engine Oil Filter OF-90,450.0,80.0,40.0,200.0,7.0,430.0,2019-07-22,160.0,40.0,90000.0,18000.0,36000.0
P003,Air Filter AF-120,820.0,60.0,30.0,150.0,7.0,800.0,2020-01-10,120.0,30.0,123000.0,24600.0,49200.0
P004,Track Chain TC-45,32500.0,8.0,4.0,20.0,30.0,32000.0,2020-06-18,16.0,4.0,650000.0,130000.0,260000.0
P005,Fuel Injector FI-220,6350.0,30.0,15.0,80.0,18.0,6200.0,2020-11-05,65.0,15.0,508000.0,95250.0,190500.0
P006,Alternator ALT-500,8650.0,12.0,6.0,30.0,20.0,8400.0,2021-02-14,24.0,6.0,259500.0,51900.0,103800.0
P007,Hydraulic Hose HH-60,980.0,70.0,35.0,200.0,10.0,950.0,2021-05-27,165.0,35.0,196000.0,34300.0,68600.0
P008,Bucket Tooth BT-10,340.0,120.0,60.0,300.0,12.0,320.0,2021-08-09,240.0,60.0,102000.0,20400.0,40800.0
P009,Starter Motor SM-700,11450.0,10.0,5.0,25.0,22.0,11000.0,2021-11-30,20.0,5.0,286250.0,57250.0,114500.0
P010,Turbocharger TB-900,28900.0,6.0,3.0,15.0,28.0,28000.0,2022-03-12,12.0,3.0,433500.0,86700.0,173400.0
P011,Hydraulic Cylinder HC-200,21500.0,10.0,5.0,25.0,24.0,21000.0,2022-06-25,20.0,5.0,537500.0,107500.0,215000.0
P012,Brake Pad BP-40,1800.0,40.0,20.0,120.0,10.0,1750.0,2022-09-08,100.0,20.0,216000.0,36000.0,72000.0
P013,Seal Kit SK-15,950.0,80.0,40.0,200.0,9.0,920.0,2022-12-19,160.0,40.0,190000.0,38000.0,76000.0
P014,Transmission Assembly TA-800,68500.0,4.0,2.0,12.0,35.0,67000.0,2023-03-05,10.0,2.0,822000.0,137000.0,274000.0
P015,Engine Block EB-600,95500.0,3.0,2.0,8.0,40.0,94000.0,2023-06-17,6.0,1.0,764000.0,191000.0,286500.0
P016,Radiator RD-250,7800.0,20.0,10.0,60.0,16.0,7600.0,2023-09-28,50.0,10.0,468000.0,78000.0,156000.0
P017,Fan Belt FB-30,320.0,50.0,25.0,150.0,5.0,310.0,2023-12-11,125.0,25.0,48000.0,8000.0,16000.0
P018,Wheel Rim WR-24,8200.0,12.0,6.0,30.0,20.0,8000.0,2024-02-20,24.0,6.0,246000.0,49200.0,98400.0
P019,Swing Motor SWM-350,31200.0,6.0,3.0,15.0,24.0,30500.0,2024-05-03,12.0,3.0,468000.0,93600.0,187200.0
P020,Pivot Pin PP-12,750.0,90.0,45.0,250.0,8.0,720.0,2024-07-19,205.0,45.0,187500.0,33750.0,67500.0
P021,Boom Cylinder BC-400,35600.0,5.0,3.0,20.0,26.0,35000.0,2024-09-30,17.0,2.0,712000.0,106800.0,178000.0
P022,Control Valve CV-75,12800.0,10.0,5.0,30.0,18.0,12500.0,2024-11-22,25.0,5.0,384000.0,64000.0,128000.0
P023,Idler Wheel IW-55,9200.0,6.0,3.0,18.0,20.0,9000.0,2025-01-15,15.0,3.0,165600.0,27600.0,55200.0
P024,Track Roller TR-60,7400.0,8.0,4.0,22.0,22.0,7200.0,2025-03-08,18.0,4.0,162800.0,29600.0,59200.0
P025,Cabin Glass CG-20,5600.0,12.0,6.0,40.0,14.0,5400.0,2025-04-27,34.0,6.0,224000.0,33600.0,67200.0
P026,Grease Cartridge GC-5,180.0,200.0,100.0,500.0,4.0,170.0,2020-04-02,400.0,100.0,90000.0,18000.0,36000.0
P027,O-Ring Set OR-50,260.0,150.0,80.0,400.0,5.0,250.0,2021-09-14,320.0,70.0,104000.0,20800.0,39000.0
P028,Light Assembly LA-18,1450.0,40.0,20.0,100.0,9.0,1380.0,2022-02-18,80.0,20.0,145000.0,29000.0,58000.0
P029,Pressure Sensor PS-90,2750.0,25.0,12.0,60.0,8.0,2650.0,2023-01-09,48.0,13.0,165000.0,33000.0,68750.0
P030,Fuel Pump FP-350,16400.0,10.0,5.0,25.0,18.0,16000.0,2024-08-21,20.0,5.0,410000.0,82000.0,164000.0
